;1001_IEO_NEU_XX;N
6835;1084_IWL_FEA_XX.avi;F
3034;1038_TIE_FEA_XX.avi;F
5216;1064_TSI_NEU_XX.avi;N
5490;1068_TIE_NEU_XX.avi;N
1654;1021_TAI_NEU_XX.avi;H
2322;1029_IWL_NEU_XX.avi;N
1415;1018_TAI_HAP_XX.avi;H
1749;1022_IWL_HAP_XX.avi;H
3305;1041_MTI_DIS_XX.avi;D
4858;1060_MTI_NEU_XX.avi;N
1957;1025_IEO_ANG_HI.avi;A
1980;1025_IWW_FEA_XX.avi;F
1598;1020_DFA_SAD_XX.avi;S
1595;1020_ITH_DIS_XX.avi;S
6053;1075_IEO_SAD_MD.avi;N
2779;1035_IEO_FEA_MD.avi;F
4926;1061_IOM_FEA_XX.avi;F
3532;1044_IOM_FEA_XX.avi;F
7049;1087_TIE_SAD_XX.avi;S
4664;1058_IEO_FEA_LO.avi;S
5963;1073_WSI_ANG_XX.avi;D
5911;1073_IOM_DIS_XX.avi;S
322;1004_WSI_SAD_XX.avi;S
6472;1080_IEO_DIS_HI.avi;D
1329;1017_IWW_ANG_XX.avi;N
139;1002_DFA_HAP_XX.avi;H
413;1006_IEO_SAD_MD.avi;S
862;1011_ITH_FEA_XX.avi;F
3642;1045_ITH_SAD_XX.avi;N
3170;1039_TSI_FEA_XX.avi;F
4011;1050_IEO_DIS_LO.avi;A
6742;1083_TAI_DIS_XX.avi;S
5213;1064_ITS_ANG_XX.avi;A
4972;1061_TSI_SAD_XX.avi;N
1940;1024_TSI_FEA_XX.avi;D
422;1006_IEO_DIS_MD.avi;D
6239;1077_IWW_NEU_XX.avi;N
6028;1074_DFA_FEA_XX.avi;F
2291;1029_IEO_DIS_HI.avi;D
5313;1066_IEO_HAP_HI.avi;H
4847;1060_IWW_HAP_XX.avi;H
7374;1091_IEO_DIS_HI.avi;S
5219;1064_TSI_ANG_XX.avi;A
3023;1038_IEO_ANG_HI.avi;A
3634;1045_IWL_NEU_XX.avi;N
4418;1055_IEO_FEA_LO.avi;A
1577;1020_TAI_DIS_XX.avi;S
2686;1034_IEO_NEU_XX.avi;N
6339;1078_IWL_NEU_XX.avi;N
3331;1041_TSI_HAP_XX.avi;H
6086;1075_TAI_FEA_XX.avi;N
1242;1016_IOM_FEA_XX.avi;F
7277;1090_IEO_NEU_XX.avi;N
3052;1038_TAI_FEA_XX.avi;F
1593;1020_ITH_ANG_XX.avi;A
5528;1068_ITH_SAD_XX.avi;N
4901;1061_IEO_HAP_LO.avi;H
676;1009_IWW_NEU_XX.avi;N
6729;1083_IOM_FEA_XX.avi;S
1804;1023_TIE_FEA_XX.avi;F
4771;1059_TAI_HAP_XX.avi;H
1497;1019_TAI_HAP_XX.avi;H
716;1009_TSI_FEA_XX.avi;F
1372;1017_TSI_FEA_XX.avi;A
4879;1060_DFA_ANG_XX.avi;N
2858;1036_IEO_ANG_MD.avi;A
1137;1015_IEO_HAP_HI.avi;H
1280;1016_ITS_NEU_XX.avi;N
7305;1090_IWW_NEU_XX.avi;N
5553;1068_WSI_ANG_XX.avi;D
223;1003_DFA_ANG_XX.avi;A
5065;1063_IEO_HAP_LO.avi;H
6071;1075_IOM_HAP_XX.avi;H
797;1010_TSI_ANG_XX.avi;A
627;1008_ITH_ANG_XX.avi;A
6018;1074_ITH_NEU_XX.avi;N
1267;1016_IWL_DIS_XX.avi;D
6257;1077_IWL_NEU_XX.avi;N
6034;1074_ITS_FEA_XX.avi;F
1740;1022_TAI_FEA_XX.avi;N
2388;1030_IWW_SAD_XX.avi;D
1522;1019_ITS_SAD_XX.avi;N
5743;1071_IOM_HAP_XX.avi;H
1412;1018_IWW_FEA_XX.avi;F
2017;1025_ITS_DIS_XX.avi;D
7059;1087_IWW_NEU_XX.avi;N
4316;1053_TSI_SAD_XX.avi;S
4735;1058_WSI_DIS_XX.avi;D
4252;1053_IEO_ANG_MD.avi;A
5253;1065_IOM_ANG_XX.avi;A
7285;1090_IEO_ANG_MD.avi;A
696;1009_ITH_SAD_XX.avi;S
3864;1048_IWW_SAD_XX.avi;S
1830;1023_IWL_NEU_XX.avi;N
6504;1080_IWL_HAP_XX.avi;H
252;1004_IEO_ANG_MD.avi;A
296;1004_ITH_NEU_XX.avi;N
6992;1086_MTI_ANG_XX.avi;D
2161;1027_IWL_ANG_XX.avi;A
5374;1066_ITS_NEU_XX.avi;N
371;1005_MTI_DIS_XX.avi;D
1068;1014_TIE_NEU_XX.avi;N
3758;1047_IEO_SAD_HI.avi;N
7164;1088_IWL_DIS_XX.avi;A
1511;1019_IWL_ANG_XX.avi;N
6905;1085_TAI_FEA_XX.avi;D
1325;1017_IOM_DIS_XX.avi;D
7238;1089_MTI_ANG_XX.avi;A
3449;1043_IOM_ANG_XX.avi;A
927;1012_TAI_DIS_XX.avi;D
